Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Effective Zone Air Temperature Setpoint [C](TimeStep),EMS:IW Occp First Come Pred [](TimeStep),EMS:IW Occp Last Leave Pred [](TimeStep),EMS:IW Occp Mode [](TimeStep),EMS:IW Hot Water Supply Temperature Setpoint Action [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Average PMV [%](TimeStep),EMS:Setback Flag Sensor [](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Mass Flow Rate [kg/s](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  03:05:00,8.70833333333333,74.0833333333333,0.0,0.0,17.6877555694192,18.,12.,16.,0.0,33.622444305808,36.7830815090459,-999.,1.,33.5140814635802,4.4390336730227,27.9643857384352,4.4390336730227 
 01/01  03:10:00,8.71666666666667,74.1666666666667,0.0,0.0,17.7025488169388,18.,12.,16.,0.0,17.7025488169388,49.446025755829,-999.,1.,33.622444305808,4.4390336730227,32.4479270869077,4.4390336730227 
 01/01  03:15:00,8.725,74.25,0.0,0.0,17.7540536529117,18.,12.,16.,0.0,17.7540536529117,25.8151557025783,-999.,1.,29.3190153547194,4.4390336730227,31.2134036424997,4.4390336730227 
 01/01  03:20:00,8.73333333333333,74.3333333333333,0.0,0.0,17.803922564613,18.,12.,16.,0.0,17.803922564613,17.681680482102,-999.,1.,28.9378192459599,4.4390336730227,29.525530152988,4.4390336730227 
 01/01  03:25:00,8.74166666666667,74.4166666666667,0.0,0.0,17.8486543774253,18.,12.,16.,0.0,17.8486543774253,16.9694393381204,-999.,1.,28.2663805795282,4.4390336730227,28.7199608262647,4.4390336730227 
 01/01  03:30:00,8.75,74.5,0.0,0.0,17.8629557065702,18.,12.,16.,0.0,17.8629557065702,16.18327723226,-999.,1.,27.5672307301688,4.4390336730227,28.0075532083768,4.4390336730227 
 01/01  03:35:00,8.75833333333333,74.5833333333333,0.0,0.0,17.8636946073009,18.,12.,16.,0.0,17.8636946073009,15.0929231157474,-999.,1.,26.917189878989,4.4390336730227,27.3303393708667,4.4390336730227 
 01/01  03:40:00,8.76666666666667,74.6666666666667,0.0,0.0,17.8575253721351,18.,12.,16.,0.0,17.8575253721351,14.0400189095339,-999.,1.,26.3140120974603,4.4390336730227,26.6982994710981,4.4390336730227 
 01/01  03:45:00,8.775,74.75,0.0,0.0,17.8467375507786,18.,12.,16.,0.0,17.8467375507786,13.0470402502108,-999.,1.,25.7538360506181,4.4390336730227,26.1108463667153,4.4390336730227 
 01/01  03:50:00,8.78333333333333,74.8333333333333,0.0,0.0,17.8331893823117,18.,12.,16.,0.0,17.8331893823117,12.2161200586027,-999.,1.,25.2303747815658,4.4390336730227,25.5635640847275,4.4390336730227 
