time_in_sec,c
938,5.127777778
939,5.1
940,5.127777778
941,5
942,4.972222222
943,4.894444444
944,4.866666667
945,4.866666667
946,4.555555556
947,4.088888889
948,4.138888889
949,4.011111111
950,3.933333333
951,3.8
952,3.722222222
953,3.694444444
954,3.644444444
955,3.566666667
956,3.511111111
957,3.461111111
958,3.194444444
959,3.25
960,3.144444444
961,3.033333333
962,3.116666667
963,3.033333333
964,3.116666667
965,3.144444444
966,3.194444444
967,3.061111111
968,2.877777778
969,2.794444444
970,2.905555556
971,2.877777778
972,2.661111111
973,2.527777778
974,2.583333333
975,2.661111111
976,2.905555556
977,3.272222222
978,2.955555556
979,3.033333333
980,2.877777778
981,2.794444444
982,2.772222222
983,2.877777778
984,2.927777778
985,2.877777778
986,2.822222222
987,2.927777778
988,2.744444444
989,2.85
990,3.144444444
991,3.433333333
992,3.222222222
993,3.116666667
994,4.116666667
995,4.194444444
996,3.772222222
997,3.672222222
998,3.088888889
999,2.716666667
1000,3.033333333
1001,2.45
1002,2.344444444
1003,2.344444444
1004,2.316666667
1005,2.211111111
1006,2.555555556
1007,2.716666667
1008,2.955555556
1009,2.822222222
1010,2.527777778
1011,2.794444444
1012,3.033333333
1013,2.583333333
1014,3.116666667
1015,2.877777778
1016,2.822222222
1017,2.127777778
1018,1.777777778
1019,1.616666667
1020,1.261111111
1021,1.288888889
1022,1.427777778
1023,1.4
1024,1.372222222
1025,0.961111111
1026,0.85
1027,0.688888889
1028,0.688888889
1029,0.577777778
1030,0.55
1031,0.933333333
1032,0.633333333
1033,0.466666667
1034,0.494444444
1035,0.411111111
1036,0.383333333
1037,0.161111111
1038,0.327777778
1039,0.327777778
1040,0.3
1041,0.244444444
1042,-0.033333333
1043,-0.005555556
1044,0.05
1045,0.161111111
1046,0.188888889
1047,-0.061111111
1048,0.438888889
1049,0.466666667
1050,0.327777778
1051,0.327777778
1052,0.244444444
1053,0.05
1054,0.105555556
1055,0.244444444
1056,-0.033333333
1057,0.272222222
1058,-0.033333333
1059,-0.283333333
1060,-0.505555556
1061,-0.705555556
1062,-0.816666667
1063,-0.705555556
1064,-0.927777778
1065,-1.072222222
1066,-1.183333333
1067,-1.211111111
1068,-1.3
1069,-1.5
1070,-1.638888889
1071,-1.783333333
1072,-1.811111111
1073,-1.844444444
1074,-1.844444444
1075,-1.9
1076,-2.133333333
1077,-2.216666667
1078,-2.044444444
1079,-2.277777778
1080,-2.361111111
1081,-2.361111111
1082,-2.422222222
1083,-2.477777778
1084,-2.594444444
1085,-2.622222222
1086,-2.744444444
1087,-2.744444444
1088,-2.744444444
1089,-2.8
1090,-2.916666667
1091,-3.005555556
1092,-3.094444444
1093,-3.122222222
1094,-3.244444444
1095,-3.244444444
1096,-3.272222222
1097,-3.327777778
1098,-3.416666667
1099,-3.511111111
1100,-3.627777778
1101,-3.538888889
1102,-3.538888889
1103,-3.866666667
1104,-3.744444444
1105,-4.166666667
1106,-4.044444444
1107,-4.194444444
1108,-4.044444444
1109,-4.194444444
1110,-4.35
1111,-4.255555556
1112,-4.35
1113,-4.316666667
1114,-4.227777778
1115,-4.077777778
